Component#1,Component#2,Smiles#1,Smiles#2,Refractive_index,MorganFP1_1,MorganFP45_1,MorganFP80_1,MorganFP89_1,MorganFP116_1,MorganFP117_1,MorganFP222_1,MorganFP283_1,MorganFP294_1,MorganFP319_1,MorganFP370_1,MorganFP379_1,MorganFP389_1,MorganFP390_1,MorganFP414_1,MorganFP511_1,MorganFP565_1,MorganFP591_1,MorganFP780_1,MorganFP784_1,MorganFP794_1,MorganFP913_1,MorganFP1057_1,MorganFP1066_1,MorganFP1069_1,MorganFP1082_1,MorganFP1444_1,MorganFP1448_1,MorganFP1525_1,MorganFP1838_1,MorganFP1866_1,MorganFP1944_1,MorganFP1_2,MorganFP2_2,MorganFP13_2,MorganFP28_2,MorganFP44_2,MorganFP65_2,MorganFP70_2,MorganFP80_2,MorganFP108_2,MorganFP114_2,MorganFP127_2,MorganFP130_2,MorganFP140_2,MorganFP144_2,MorganFP171_2,MorganFP216_2,MorganFP222_2,MorganFP227_2,MorganFP235_2,MorganFP283_2,MorganFP305_2,MorganFP319_2,MorganFP325_2,MorganFP389_2,MorganFP396_2,MorganFP410_2,MorganFP473_2,MorganFP475_2,MorganFP482_2,MorganFP540_2,MorganFP650_2,MorganFP667_2,MorganFP670_2,MorganFP739_2,MorganFP745_2,MorganFP768_2,MorganFP786_2,MorganFP813_2,MorganFP880_2,MorganFP900_2,MorganFP913_2,MorganFP929_2,MorganFP981_2,MorganFP1017_2,MorganFP1057_2,MorganFP1060_2,MorganFP1088_2,MorganFP1130_2,MorganFP1171_2,MorganFP1287_2,MorganFP1295_2,MorganFP1313_2,MorganFP1331_2,MorganFP1380_2,MorganFP1517_2,MorganFP1649_2,MorganFP1664_2,MorganFP1683_2,MorganFP1737_2,MorganFP1750_2,MorganFP1844_2,MorganFP1911_2,MorganFP1917_2,MorganFP1977_2,MorganFP2017_2,MorganFP2038_2,X#1,X#2,"T, K"
benzyl(tripropyl)azanium chloride,"ethane-1,2-diol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(CO)O,1.4849,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,338.15
benzyl(tripropyl)azanium chloride,"ethane-1,2-diol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(CO)O,1.4831,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,343.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.5036,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,298.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.5026,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,303.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.4999,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,313.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.4982,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,318.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.4966,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,323.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.4953,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,328.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.4936,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,333.15
benzyl(tripropyl)azanium chloride,"propane-1,2,3-triol",CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(C(CO)O)O,1.4922,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.25,0.75,338.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4944,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,293.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4926,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,298.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4892,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,308.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4876,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,313.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4858,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,318.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4844,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,323.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4824,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,328.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4811,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,333.15
benzyl(tripropyl)azanium chloride,2-hydroxypropanoic acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,1.4791,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.75,338.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5486,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,293.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5471,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,298.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5452,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,303.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5436,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,308.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5403,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,318.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5369,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,328.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5352,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,333.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5334,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,338.15
benzyl(tripropyl)azanium chloride,phenol,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C1=CC=C(C=C1)O,1.5317,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.75,343.15
benzyl(triphenyl)phosphanium chloride,"ethane-1,2-diol",C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O,1.5258,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,328.15
benzyl(triphenyl)phosphanium chloride,"ethane-1,2-diol",C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O,1.5309,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,338.15
benzyl(triphenyl)phosphanium chloride,"propane-1,2,3-triol",C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,1.5502,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.1667,0.8333,328.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4686,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,288.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4661,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,298.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4648,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,303.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4635,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,308.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4622,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,313.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4608,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,318.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4594,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,323.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.458,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,328.15
tetrabutylazanium chloride,"ethane-1,2-diol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O,1.4551,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.6667,338.15
tetrabutylazanium chloride,2-phenylacetic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C1=CC=C(C=C1)CC(=O)O,1.5099,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.3333,0.6667,293.15
tetrabutylazanium chloride,2-phenylacetic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C1=CC=C(C=C1)CC(=O)O,1.5083,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.3333,0.6667,298.15
tetrabutylazanium chloride,2-phenylacetic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C1=CC=C(C=C1)CC(=O)O,1.5067,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.3333,0.6667,303.15
tetrabutylazanium chloride,2-phenylacetic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C1=CC=C(C=C1)CC(=O)O,1.5035,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.3333,0.6667,313.15
tetrabutylazanium chloride,2-phenylacetic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C1=CC=C(C=C1)CC(=O)O,1.5004,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.3333,0.6667,323.15
